80,80,405,430,80,580
50,70,80,250,300,100
150,70,30,50,30,150
350,170,180,150,300,400
250,170,280,50,400,100
70,70,70,70,70,70
45,45,45,45,70,70
70,70,70,70,45,95
70,70,70,70,95,120
195,145,320,195,70,270
195,145,320,195,70,270
100,70,225,170,245,70
95,170,95,245,95,255
95,170,95,245,245,255
95,150,95,265,95,175
70,195,120,345,45,120
70,195,95,270,95,270
70,195,120,345,95,270
70,195,95,270,45,120
145,220,45,55,35,270
45,220,145,220,120,270
70,70,170,270,70,270
70,70,70,70,70,95
70,70,70,70,10,70
150,150,150,150,45,45
39,70,39,70,200,70
95,245,95,170,75,200
245,170,245,255,245,255
100,170,245,255,245,255
